PCLOrigin,74.19,-100.21,1288.48
femoralCenter,85.60,-116.43,1266.95
greaterTrochanter,118.94,-132.02,1631.76
hipCenter,76.90,-145.41,1629.67
lateralCondyle,101.31,-110.57,1264.02
lateralEpicondyle,118.95,-103.67,1287.18
lateralPosteriorCondyle,105.68,-80.86,1285.06
medialCondyle,60.87,-110.52,1261.00
medialEpicondyle,45.14,-114.89,1287.64
medialPosteriorCondyle,58.60,-83.40,1284.02
medialSulcus,45.75,-107.89,1284.00
midfemurCenter,97.08,-136.25,1454.99
whitesideReference,85.74,-134.92,1276.88
