PCLOrigin,79.59,-106.06,1198.72
femoralCenter,93.45,-123.54,1178.30
greaterTrochanter,129.17,-121.44,1650.90
hipCenter,77.69,-143.52,1648.58
lateralCondyle,117.76,-116.74,1173.65
lateralEpicondyle,129.99,-112.08,1200.61
lateralPosteriorCondyle,113.01,-85.25,1196.52
medialCondyle,65.42,-120.63,1168.01
medialEpicondyle,50.78,-122.90,1197.12
medialPosteriorCondyle,62.86,-88.21,1192.67
medialSulcus,51.15,-115.53,1194.01
midfemurCenter,107.56,-144.04,1420.99
whitesideReference,96.87,-155.99,1198.59
