hipCenter,-80.37,45.38,-119.55
greaterTrochanter,-130.29,56.00,-111.18
femoralCenter,-91.69,44.49,-548.83
whitesideReference,-89.35,26.55,-536.67
lateralCondyle,-115.97,51.32,-556.35
medialCondyle,-66.94,55.93,-558.51
lateralPosteriorCondyle,-118.78,80.79,-534.14
medialPosteriorCondyle,-69.16,85.11,-533.13
midfemurCenter,-109.05,34.86,-327.64
PCLOrigin,-84.99,63.46,-525.28
lateralEpicondyle,-133.76,54.72,-527.94
medialSulcus,-49.95,60.74,-532.83
medialEpicondyle,-47.43,52.25,-529.47
