hipCenter,-100.06,12.00,1440.80
greaterTrochanter,-146.75,18.16,1446.76
femoralCenter,-112.74,19.75,1044.85
whitesideReference,-108.58,2.10,1056.29
lateralCondyle,-134.59,26.49,1039.07
medialCondyle,-90.76,32.44,1034.08
lateralPosteriorCondyle,-139.35,53.00,1059.65
medialPosteriorCondyle,-93.91,61.25,1057.85
midfemurCenter,-123.78,6.79,1247.99
PCLOrigin,-103.76,40.54,1061.27
lateralEpicondyle,-151.62,28.54,1063.58
medialSulcus,-76.20,40.87,1057.34
medialEpicondyle,-73.63,31.95,1061.28
