hipCenter,-91.26,-38.12,1678.81
greaterTrochanter,-140.66,-28.96,1677.88
femoralCenter,-62.64,-14.33,1265.53
whitesideReference,-61.62,-33.13,1280.30
lateralCondyle,-86.30,-10.30,1260.51
medialCondyle,-43.96,-3.66,1258.51
lateralPosteriorCondyle,-89.92,17.54,1279.04
medialPosteriorCondyle,-46.78,25.37,1280.93
midfemurCenter,-95.48,-33.26,1478.49
PCLOrigin,-58.02,5.98,1284.52
lateralEpicondyle,-103.28,-6.54,1283.93
medialSulcus,-29.25,5.05,1283.42
medialEpicondyle,-27.13,-1.82,1287.00
