PCLOrigin,95.85,-129.46,1358.78
femoralCenter,111.54,-149.83,1336.59
greaterTrochanter,126.22,-116.10,1744.15
hipCenter,80.77,-139.45,1739.25
lateralCondyle,132.55,-137.62,1332.49
lateralEpicondyle,145.51,-130.14,1358.79
lateralPosteriorCondyle,127.07,-108.20,1356.07
medialCondyle,81.29,-140.96,1328.49
medialEpicondyle,66.64,-148.78,1354.15
medialPosteriorCondyle,78.81,-114.36,1351.45
medialSulcus,66.54,-142.80,1351.16
midfemurCenter,113.92,-151.53,1543.47
whitesideReference,116.47,-165.31,1349.19
