hipCenter,75.10,193.55,-197.71
greaterTrochanter,117.72,204.69,-193.14
femoralCenter,93.95,200.97,-563.12
whitesideReference,93.80,182.05,-551.81
lateralCondyle,111.81,203.43,-566.87
medialCondyle,72.47,207.55,-568.12
lateralPosteriorCondyle,115.52,231.96,-547.23
medialPosteriorCondyle,74.15,235.80,-546.57
midfemurCenter,102.80,186.40,-374.39
PCLOrigin,86.89,216.71,-542.12
lateralEpicondyle,130.29,208.36,-545.18
medialSulcus,58.61,214.26,-545.92
medialEpicondyle,57.27,207.75,-542.77
