hipCenter,-70.00,-15.14,1567.34
greaterTrochanter,-112.88,-7.98,1587.77
femoralCenter,-109.94,-12.94,1191.51
whitesideReference,-111.66,-30.06,1202.09
lateralCondyle,-127.26,-4.76,1187.39
medialCondyle,-85.10,-7.47,1183.51
lateralPosteriorCondyle,-124.30,23.14,1206.91
medialPosteriorCondyle,-78.60,21.77,1205.05
midfemurCenter,-117.53,-24.33,1401.00
PCLOrigin,-97.32,4.07,1210.49
lateralEpicondyle,-146.02,1.75,1210.67
medialSulcus,-67.22,-4.32,1207.94
medialEpicondyle,-67.24,-11.27,1210.03
