PCLOrigin,-98.63,37.53,-449.30
femoralCenter,-105.17,20.03,-474.82
greaterTrochanter,-143.37,37.73,-51.47
hipCenter,-107.16,5.57,-48.40
lateralCondyle,-127.71,25.60,-480.11
lateralEpicondyle,-146.93,31.31,-451.13
lateralPosteriorCondyle,-130.02,56.34,-457.24
medialCondyle,-84.22,28.08,-482.25
medialEpicondyle,-63.99,28.82,-453.87
medialPosteriorCondyle,-84.90,58.52,-457.38
medialSulcus,-65.69,35.69,-456.90
midfemurCenter,-139.35,-14.83,-252.63
whitesideReference,-103.82,0.71,-466.42
