PCLOrigin,91.59,185.38,-529.07
femoralCenter,97.54,160.98,-556.29
greaterTrochanter,132.93,179.25,-118.03
hipCenter,80.73,158.63,-120.02
lateralCondyle,120.87,167.54,-562.74
lateralEpicondyle,142.89,164.81,-531.54
lateralPosteriorCondyle,127.05,195.90,-538.47
medialCondyle,72.85,175.77,-565.74
medialEpicondyle,51.79,181.03,-533.54
medialPosteriorCondyle,80.49,210.43,-540.04
medialSulcus,53.49,188.32,-536.60
midfemurCenter,101.49,148.29,-435.25
whitesideReference,92.69,139.74,-543.20
