PCLOrigin,-98.89,37.58,-585.27
femoralCenter,-110.84,16.84,-603.11
greaterTrochanter,-153.46,35.33,-199.39
hipCenter,-104.91,26.81,-203.80
lateralCondyle,-128.94,25.50,-609.37
lateralEpicondyle,-146.77,32.80,-587.60
lateralPosteriorCondyle,-133.57,55.33,-590.43
medialCondyle,-86.15,24.64,-610.62
medialEpicondyle,-70.70,21.40,-584.46
medialPosteriorCondyle,-84.87,52.34,-589.32
medialSulcus,-70.88,27.25,-587.25
midfemurCenter,-131.76,8.27,-396.89
whitesideReference,-112.09,0.53,-591.63
