PCLOrigin,-122.20,8.36,1185.63
femoralCenter,-128.32,-17.42,1164.00
greaterTrochanter,-158.91,-12.19,1596.92
hipCenter,-106.38,-10.00,1589.67
lateralCondyle,-155.02,-9.73,1158.09
lateralEpicondyle,-167.95,-11.68,1184.97
lateralPosteriorCondyle,-159.35,16.46,1180.95
medialCondyle,-105.12,0.17,1153.73
medialEpicondyle,-90.05,3.08,1181.32
medialPosteriorCondyle,-111.70,30.75,1178.90
medialSulcus,-93.10,9.98,1177.84
midfemurCenter,-136.95,-30.04,1383.00
whitesideReference,-121.17,-34.15,1174.61
