PCLOrigin,-63.46,161.65,-598.32
femoralCenter,-82.54,143.73,-616.65
greaterTrochanter,-106.82,191.35,-155.84
hipCenter,-51.99,162.70,-163.84
lateralCondyle,-100.37,154.56,-622.54
lateralEpicondyle,-118.97,164.76,-594.51
lateralPosteriorCondyle,-93.50,189.44,-603.52
medialCondyle,-49.50,142.18,-628.66
medialEpicondyle,-33.49,138.65,-599.94
medialPosteriorCondyle,-43.49,175.31,-606.06
medialSulcus,-33.09,146.01,-603.15
midfemurCenter,-88.53,149.19,-386.67
whitesideReference,-86.13,125.30,-601.79
