PCLOrigin,-84.46,50.32,1172.80
femoralCenter,-93.02,33.17,1154.48
greaterTrochanter,-139.72,16.56,1564.83
hipCenter,-92.08,3.95,1560.84
lateralCondyle,-115.07,40.20,1148.01
lateralEpicondyle,-129.86,45.35,1171.75
lateralPosteriorCondyle,-115.19,66.60,1167.77
medialCondyle,-69.66,43.64,1146.25
medialEpicondyle,-55.42,39.75,1174.90
medialPosteriorCondyle,-70.75,69.61,1169.05
medialSulcus,-56.35,47.35,1171.93
midfemurCenter,-115.59,10.22,1363.99
whitesideReference,-92.75,17.15,1166.06
