PCLOrigin,123.39,-142.93,-482.19
femoralCenter,140.08,-161.65,-500.92
greaterTrochanter,128.97,-141.75,-60.94
hipCenter,74.92,-151.84,-75.73
lateralCondyle,163.06,-147.67,-507.97
lateralEpicondyle,176.68,-140.47,-482.80
lateralPosteriorCondyle,152.80,-119.10,-486.97
medialCondyle,108.84,-156.50,-512.83
medialEpicondyle,91.00,-163.07,-485.73
medialPosteriorCondyle,101.68,-126.57,-491.69
medialSulcus,90.42,-154.50,-490.15
midfemurCenter,138.92,-165.78,-282.81
whitesideReference,141.75,-181.12,-484.14
