PCLOrigin,-93.80,-130.49,1222.34
femoralCenter,-99.79,-152.24,1200.40
greaterTrochanter,-130.44,-120.01,1634.13
hipCenter,-84.01,-125.64,1629.46
lateralCondyle,-122.78,-142.75,1195.62
lateralEpicondyle,-136.51,-140.70,1222.36
lateralPosteriorCondyle,-123.44,-116.39,1213.97
medialCondyle,-77.01,-139.57,1191.62
medialEpicondyle,-61.45,-140.35,1220.63
medialPosteriorCondyle,-81.42,-110.43,1210.19
medialSulcus,-62.41,-133.94,1216.76
midfemurCenter,-109.98,-147.55,1423.60
whitesideReference,-97.47,-171.38,1217.16
