PCLOrigin,-90.00,-3.18,-565.32
femoralCenter,-100.72,-26.00,-586.93
greaterTrochanter,-134.98,2.66,-136.89
hipCenter,-87.09,-18.59,-153.34
lateralCondyle,-126.66,-20.70,-593.49
lateralEpicondyle,-144.21,-19.82,-566.70
lateralPosteriorCondyle,-127.02,9.54,-571.92
medialCondyle,-75.88,-17.00,-596.87
medialEpicondyle,-54.51,-13.66,-566.27
medialPosteriorCondyle,-75.05,17.01,-573.44
medialSulcus,-56.27,-7.81,-569.76
midfemurCenter,-110.73,-34.26,-446.82
whitesideReference,-99.46,-46.46,-574.61
