PCLOrigin,-70.30,11.56,1374.23
femoralCenter,-78.72,-6.23,1353.01
greaterTrochanter,-146.57,-15.42,1748.77
hipCenter,-93.70,-20.60,1760.12
lateralCondyle,-98.96,1.45,1347.01
lateralEpicondyle,-118.16,8.78,1370.36
lateralPosteriorCondyle,-103.91,32.08,1365.06
medialCondyle,-52.02,5.14,1345.03
medialEpicondyle,-39.01,-1.53,1371.32
medialPosteriorCondyle,-51.29,31.20,1365.46
medialSulcus,-39.62,4.39,1367.37
midfemurCenter,-106.29,-24.20,1565.99
whitesideReference,-79.74,-25.61,1365.45
