PCLOrigin,-99.91,8.13,-571.18
femoralCenter,-106.79,-17.62,-590.40
greaterTrochanter,-149.54,30.08,-152.15
hipCenter,-94.71,14.09,-157.02
lateralCondyle,-133.43,-9.46,-596.79
lateralEpicondyle,-148.45,-7.74,-569.90
lateralPosteriorCondyle,-134.90,19.38,-575.68
medialCondyle,-87.47,1.37,-600.88
medialEpicondyle,-64.27,7.38,-571.78
medialPosteriorCondyle,-89.38,31.12,-579.16
medialSulcus,-66.26,11.77,-574.79
midfemurCenter,-120.20,-11.61,-371.81
whitesideReference,-101.15,-32.54,-578.34
