PCLOrigin,117.61,-129.91,1191.56
femoralCenter,130.38,-148.56,1173.51
greaterTrochanter,127.18,-142.16,1570.13
hipCenter,83.95,-156.35,1557.89
lateralCondyle,147.21,-138.91,1167.76
lateralEpicondyle,164.68,-130.64,1192.98
lateralPosteriorCondyle,148.76,-109.99,1186.92
medialCondyle,105.85,-140.45,1161.65
medialEpicondyle,88.99,-142.09,1189.95
medialPosteriorCondyle,102.67,-111.61,1183.79
medialSulcus,89.43,-135.26,1185.98
midfemurCenter,132.23,-165.36,1369.63
whitesideReference,129.80,-163.02,1182.14
