PCLOrigin,50.17,-111.13,1074.75
femoralCenter,59.70,-125.27,1056.40
greaterTrochanter,113.12,-136.71,1472.58
hipCenter,71.76,-142.40,1475.99
lateralCondyle,80.31,-119.90,1052.36
lateralEpicondyle,94.37,-115.31,1074.91
lateralPosteriorCondyle,79.27,-96.53,1070.65
medialCondyle,36.20,-120.27,1047.38
medialEpicondyle,19.66,-124.20,1072.04
medialPosteriorCondyle,32.62,-95.63,1067.32
medialSulcus,20.43,-118.41,1069.62
midfemurCenter,74.29,-144.39,1270.38
whitesideReference,61.98,-143.87,1069.34
