hipCenter,66.63,166.76,-171.40
greaterTrochanter,115.11,194.76,-161.92
femoralCenter,126.52,156.11,-604.01
whitesideReference,127.86,135.98,-587.31
lateralCondyle,147.21,172.30,-610.07
medialCondyle,98.41,170.75,-616.12
lateralPosteriorCondyle,147.50,202.57,-587.28
medialPosteriorCondyle,94.87,200.26,-592.56
midfemurCenter,118.23,163.26,-383.22
PCLOrigin,112.95,180.87,-580.10
lateralEpicondyle,164.20,175.84,-578.11
medialSulcus,79.04,170.18,-591.99
medialEpicondyle,77.69,163.52,-588.74
