PCLOrigin,-120.01,-7.90,949.37
femoralCenter,-123.48,-34.16,928.47
greaterTrochanter,-163.91,-33.95,1378.21
hipCenter,-106.57,-48.57,1371.21
lateralCondyle,-149.26,-26.85,919.51
lateralEpicondyle,-175.03,-22.29,953.34
lateralPosteriorCondyle,-158.65,6.52,945.08
medialCondyle,-102.38,-14.51,916.51
medialEpicondyle,-82.44,-12.55,947.12
medialPosteriorCondyle,-106.39,19.22,942.28
medialSulcus,-84.90,-7.71,943.16
midfemurCenter,-134.24,-43.46,1122.49
whitesideReference,-123.40,-51.21,954.57
