PCLOrigin,112.40,138.78,-606.52
femoralCenter,124.62,114.82,-629.21
greaterTrochanter,145.07,145.42,-219.06
hipCenter,95.88,129.85,-222.38
lateralCondyle,151.65,129.39,-636.10
lateralEpicondyle,166.32,131.83,-604.21
lateralPosteriorCondyle,147.87,157.49,-612.72
medialCondyle,96.99,126.76,-642.11
medialEpicondyle,76.68,122.92,-611.88
medialPosteriorCondyle,93.67,157.57,-618.30
medialSulcus,78.17,128.85,-616.45
midfemurCenter,132.90,119.71,-419.12
whitesideReference,125.09,97.49,-616.67
