PCLOrigin,-66.89,-119.86,-676.66
femoralCenter,-82.07,-137.18,-703.93
greaterTrochanter,-142.96,-156.53,-211.68
hipCenter,-92.49,-182.86,-219.19
lateralCondyle,-105.67,-128.82,-707.49
lateralEpicondyle,-123.01,-122.86,-673.15
lateralPosteriorCondyle,-98.26,-94.55,-679.70
medialCondyle,-52.87,-131.81,-712.50
medialEpicondyle,-30.95,-133.46,-678.31
medialPosteriorCondyle,-45.54,-98.49,-684.57
medialSulcus,-31.11,-126.38,-682.66
midfemurCenter,-109.15,-171.17,-452.51
whitesideReference,-90.76,-166.53,-692.79
