PCLOrigin,102.26,-103.87,951.95
femoralCenter,114.42,-123.19,929.04
greaterTrochanter,149.96,-122.92,1388.36
hipCenter,98.76,-137.07,1391.80
lateralCondyle,136.85,-119.00,924.79
lateralEpicondyle,153.47,-110.93,954.70
lateralPosteriorCondyle,136.35,-84.47,948.92
medialCondyle,88.36,-114.13,918.13
medialEpicondyle,71.53,-116.40,945.27
medialPosteriorCondyle,90.44,-83.44,943.93
medialSulcus,72.06,-109.66,943.81
midfemurCenter,128.92,-149.76,1168.11
whitesideReference,113.59,-145.83,941.91
