hipCenter,-66.67,14.80,-155.99
greaterTrochanter,-120.42,19.77,-143.07
femoralCenter,-125.64,15.64,-580.42
whitesideReference,-123.16,-1.44,-570.48
lateralCondyle,-145.63,16.94,-585.62
medialCondyle,-102.17,24.77,-590.62
lateralPosteriorCondyle,-146.44,51.26,-561.18
medialPosteriorCondyle,-98.99,56.20,-569.97
midfemurCenter,-113.47,9.12,-268.75
PCLOrigin,-114.51,33.78,-562.50
lateralEpicondyle,-162.12,26.08,-558.76
medialSulcus,-82.98,29.19,-566.90
medialEpicondyle,-82.65,24.79,-566.33
