hipCenter,-79.54,-14.79,1518.19
greaterTrochanter,-125.58,6.16,1519.14
femoralCenter,-109.67,-4.29,1049.04
whitesideReference,-110.34,-25.92,1065.25
lateralCondyle,-131.54,3.23,1044.01
medialCondyle,-79.30,2.84,1037.21
lateralPosteriorCondyle,-131.57,39.99,1067.94
medialPosteriorCondyle,-73.63,34.54,1064.34
midfemurCenter,-114.82,-17.48,1295.99
PCLOrigin,-93.40,16.39,1071.57
lateralEpicondyle,-149.31,10.47,1072.85
medialSulcus,-60.54,5.57,1066.16
medialEpicondyle,-60.16,-3.77,1070.80
