PCLOrigin,-112.84,55.16,-570.21
femoralCenter,-128.31,32.27,-588.75
greaterTrochanter,-148.72,47.74,-160.17
hipCenter,-101.05,28.77,-164.88
lateralCondyle,-149.50,42.87,-592.64
lateralEpicondyle,-166.34,50.16,-568.10
lateralPosteriorCondyle,-149.95,73.82,-571.94
medialCondyle,-100.73,44.44,-602.72
medialEpicondyle,-80.68,41.24,-577.79
medialPosteriorCondyle,-95.08,73.92,-580.38
medialSulcus,-82.51,46.95,-580.48
midfemurCenter,-129.42,22.41,-370.14
whitesideReference,-127.82,16.10,-575.18
