hipCenter,-83.16,18.51,-196.87
greaterTrochanter,-130.04,21.04,-193.12
femoralCenter,-92.81,29.06,-608.09
whitesideReference,-89.39,11.65,-597.03
lateralCondyle,-116.59,35.67,-614.03
medialCondyle,-71.06,44.42,-615.36
lateralPosteriorCondyle,-124.27,64.69,-592.14
medialPosteriorCondyle,-77.31,76.43,-590.66
midfemurCenter,-107.80,11.20,-396.64
PCLOrigin,-89.16,53.34,-586.86
lateralEpicondyle,-133.48,34.50,-588.67
medialSulcus,-57.27,53.09,-589.24
medialEpicondyle,-54.07,47.36,-585.31
