PCLOrigin,121.72,-136.90,-516.04
femoralCenter,135.92,-156.79,-536.29
greaterTrochanter,136.33,-124.66,-137.59
hipCenter,91.25,-144.35,-141.22
lateralCondyle,156.00,-148.30,-540.28
lateralEpicondyle,170.67,-141.25,-513.75
lateralPosteriorCondyle,153.74,-117.70,-523.47
medialCondyle,108.80,-150.02,-547.29
medialEpicondyle,91.30,-151.80,-522.05
medialPosteriorCondyle,103.05,-119.74,-526.61
medialSulcus,90.65,-144.67,-525.14
midfemurCenter,135.70,-159.34,-331.31
whitesideReference,137.56,-176.60,-523.03
