hipCenter,89.15,-122.82,1539.18
greaterTrochanter,135.32,-109.62,1535.48
femoralCenter,123.26,-180.28,1111.38
whitesideReference,120.25,-194.55,1125.09
lateralCondyle,148.07,-171.15,1104.90
medialCondyle,104.83,-160.67,1100.92
lateralPosteriorCondyle,149.79,-139.29,1125.37
medialPosteriorCondyle,108.22,-132.68,1120.08
midfemurCenter,126.96,-158.57,1329.88
PCLOrigin,116.03,-152.59,1131.12
lateralEpicondyle,160.90,-171.84,1134.39
medialSulcus,85.77,-154.09,1124.39
medialEpicondyle,83.66,-160.64,1128.98
