PCLOrigin,-33.29,-71.79,-1138.79
femoralCenter,-50.66,-87.43,-1163.50
greaterTrochanter,-61.26,-81.95,-702.51
hipCenter,-13.64,-107.01,-706.91
lateralCondyle,-68.60,-69.47,-1167.49
lateralEpicondyle,-81.17,-61.96,-1141.53
lateralPosteriorCondyle,-55.68,-45.83,-1147.19
medialCondyle,-18.64,-89.63,-1173.49
medialEpicondyle,-2.25,-95.77,-1145.29
medialPosteriorCondyle,-7.42,-60.24,-1150.83
medialSulcus,-3.45,-88.63,-1149.71
midfemurCenter,-51.11,-98.26,-1009.50
whitesideReference,-54.25,-104.38,-1147.92
