PCLOrigin,53.05,-138.64,992.75
femoralCenter,65.21,-156.06,973.82
greaterTrochanter,127.66,-139.88,1375.58
hipCenter,81.21,-151.29,1376.17
lateralCondyle,87.68,-144.47,969.86
lateralEpicondyle,100.92,-140.90,994.76
lateralPosteriorCondyle,83.32,-118.78,989.99
medialCondyle,40.06,-147.35,966.37
medialEpicondyle,27.09,-152.41,996.93
medialPosteriorCondyle,38.03,-119.87,989.21
medialSulcus,26.98,-145.29,993.03
midfemurCenter,90.54,-164.25,1182.81
whitesideReference,66.81,-177.44,989.55
