greaterTrochanter,-131.78,-6.65,1440.17
hipCenter,-86.66,-18.87,1437.06
PCLOrigin,-71.24,34.67,1038.39
femoralCenter,-78.64,13.59,1017.49
lateralCondyle,-98.49,12.46,1010.58
lateralEpicondyle,-115.88,13.78,1033.65
lateralPosteriorCondyle,-109.11,41.66,1031.91
medialCondyle,-55.78,27.69,1007.52
medialEpicondyle,-39.34,31.09,1034.47
medialPosteriorCondyle,-61.66,55.16,1032.03
medialSulcus,-42.28,36.43,1031.84
midfemurCenter,-94.24,-15.83,1233.25
whitesideReference,-74.57,-0.14,1023.74
