hipCenter,-64.05,-11.73,-126.01
greaterTrochanter,-110.88,9.96,-102.75
femoralCenter,-113.69,-1.51,-534.74
whitesideReference,-114.10,-21.24,-518.45
lateralCondyle,-135.89,8.63,-539.73
medialCondyle,-86.84,3.19,-541.56
lateralPosteriorCondyle,-130.33,40.52,-517.56
medialPosteriorCondyle,-79.13,37.39,-517.87
midfemurCenter,-119.70,-6.92,-427.26
PCLOrigin,-99.18,19.93,-509.59
lateralEpicondyle,-150.98,17.03,-511.81
medialSulcus,-68.49,7.39,-516.54
medialEpicondyle,-67.37,2.10,-513.27
