PCLOrigin,92.95,187.41,-831.05
femoralCenter,104.19,166.53,-849.75
greaterTrochanter,123.03,191.61,-388.62
hipCenter,71.02,178.74,-399.88
lateralCondyle,127.99,173.85,-856.29
lateralEpicondyle,144.98,179.64,-828.70
lateralPosteriorCondyle,128.46,203.32,-835.73
medialCondyle,75.47,176.80,-859.74
medialEpicondyle,57.97,173.88,-833.01
medialPosteriorCondyle,76.82,206.71,-839.40
medialSulcus,59.24,180.60,-836.72
midfemurCenter,107.12,158.29,-739.25
whitesideReference,103.63,150.22,-839.73
