hipCenter,70.10,-141.04,-86.02
greaterTrochanter,119.63,-128.98,-82.30
femoralCenter,78.36,-131.49,-522.87
whitesideReference,79.43,-151.57,-508.49
lateralCondyle,101.64,-118.00,-528.79
medialCondyle,49.34,-122.48,-532.00
lateralPosteriorCondyle,99.36,-89.32,-507.48
medialPosteriorCondyle,46.14,-96.37,-509.71
midfemurCenter,96.85,-143.76,-298.81
PCLOrigin,66.41,-111.65,-500.66
lateralEpicondyle,116.91,-113.43,-500.13
medialSulcus,34.26,-124.78,-506.65
medialEpicondyle,33.58,-131.83,-502.31
