PCLOrigin,-69.15,13.87,1329.01
femoralCenter,-86.00,-5.02,1305.09
greaterTrochanter,-137.91,-8.94,1744.98
hipCenter,-90.88,-18.77,1742.24
lateralCondyle,-103.34,3.91,1303.55
lateralEpicondyle,-120.89,18.81,1331.95
lateralPosteriorCondyle,-99.83,38.86,1324.17
medialCondyle,-57.56,3.60,1297.31
medialEpicondyle,-39.16,-8.71,1328.33
medialPosteriorCondyle,-52.96,34.29,1323.27
medialSulcus,-39.09,-0.57,1323.87
midfemurCenter,-111.21,-20.89,1530.99
whitesideReference,-89.71,-22.79,1317.29
