PCLOrigin,-96.30,28.97,1114.54
femoralCenter,-106.11,6.80,1089.40
greaterTrochanter,-158.93,6.95,1524.09
hipCenter,-103.45,-2.02,1527.91
lateralCondyle,-130.45,14.66,1082.43
lateralEpicondyle,-152.54,17.72,1113.24
lateralPosteriorCondyle,-133.09,51.59,1108.49
medialCondyle,-80.36,12.25,1080.42
medialEpicondyle,-58.06,14.51,1113.99
medialPosteriorCondyle,-81.63,52.55,1107.41
medialSulcus,-60.35,23.50,1111.07
midfemurCenter,-123.60,-12.45,1316.49
whitesideReference,-106.50,-20.97,1109.02
