hipCenter,-89.81,11.45,-122.79
greaterTrochanter,-140.07,21.23,-112.98
femoralCenter,-121.55,3.40,-560.10
whitesideReference,-124.11,-14.55,-546.85
lateralCondyle,-144.20,15.66,-564.96
medialCondyle,-90.99,13.26,-570.11
lateralPosteriorCondyle,-142.95,46.71,-542.95
medialPosteriorCondyle,-88.35,45.10,-545.02
midfemurCenter,-126.20,1.12,-336.39
PCLOrigin,-106.46,25.42,-540.01
lateralEpicondyle,-160.17,21.16,-538.99
medialSulcus,-74.06,12.51,-545.62
medialEpicondyle,-73.55,7.52,-542.66
