hipCenter,103.53,-43.97,1706.36
greaterTrochanter,159.47,-43.39,1702.84
femoralCenter,117.27,-60.86,1239.99
whitesideReference,119.34,-78.37,1260.35
lateralCondyle,142.14,-48.99,1234.01
medialCondyle,85.39,-48.70,1231.00
lateralPosteriorCondyle,139.83,-15.89,1258.13
medialPosteriorCondyle,84.52,-16.98,1254.77
midfemurCenter,130.75,-62.45,1478.99
PCLOrigin,102.40,-36.04,1262.92
lateralEpicondyle,157.04,-40.99,1261.72
medialSulcus,69.80,-46.18,1258.29
medialEpicondyle,69.52,-53.54,1261.41
