PCLOrigin,-61.97,52.24,1059.04
femoralCenter,-70.48,27.89,1040.45
greaterTrochanter,-154.40,33.44,1460.23
hipCenter,-104.55,35.46,1463.70
lateralCondyle,-92.72,30.25,1034.14
lateralEpicondyle,-111.94,34.08,1057.46
lateralPosteriorCondyle,-100.84,60.56,1053.32
medialCondyle,-47.41,42.63,1032.11
medialEpicondyle,-29.49,46.43,1062.83
medialPosteriorCondyle,-52.33,72.70,1053.72
medialSulcus,-31.20,53.90,1059.06
midfemurCenter,-102.79,17.61,1259.49
whitesideReference,-66.33,8.73,1059.86
