PCLOrigin,-86.08,60.52,1046.61
femoralCenter,-91.62,43.01,1027.13
greaterTrochanter,-147.80,20.70,1417.89
hipCenter,-99.37,18.71,1416.01
lateralCondyle,-112.26,46.68,1021.02
lateralEpicondyle,-130.12,47.64,1042.66
lateralPosteriorCondyle,-116.80,70.88,1039.63
medialCondyle,-71.21,51.11,1021.01
medialEpicondyle,-55.97,54.68,1046.36
medialPosteriorCondyle,-72.82,79.91,1042.05
medialSulcus,-57.88,60.40,1042.34
midfemurCenter,-118.89,19.76,1227.00
whitesideReference,-90.28,24.72,1038.30
