hipCenter,-75.76,-17.27,396.13
greaterTrochanter,-122.53,-2.16,400.04
femoralCenter,-126.97,-47.21,-36.11
whitesideReference,-128.75,-63.22,-22.07
lateralCondyle,-150.67,-33.01,-42.36
medialCondyle,-99.69,-34.36,-46.11
lateralPosteriorCondyle,-147.86,-0.73,-17.81
medialPosteriorCondyle,-94.84,-4.76,-20.14
midfemurCenter,-124.59,-36.53,183.87
PCLOrigin,-115.21,-23.63,-16.90
lateralEpicondyle,-165.73,-24.64,-14.43
medialSulcus,-82.87,-35.26,-20.32
medialEpicondyle,-81.21,-40.36,-18.64
