PCLOrigin,-77.70,26.48,1043.23
femoralCenter,-84.93,9.07,1018.50
greaterTrochanter,-150.03,21.66,1460.06
hipCenter,-95.77,8.31,1453.45
lateralCondyle,-108.82,12.83,1011.50
lateralEpicondyle,-126.68,15.68,1041.33
lateralPosteriorCondyle,-110.26,44.16,1034.54
medialCondyle,-59.38,15.10,1009.21
medialEpicondyle,-40.86,15.05,1041.72
medialPosteriorCondyle,-59.86,47.60,1034.51
medialSulcus,-42.50,21.89,1036.86
midfemurCenter,-111.22,-0.01,1243.49
whitesideReference,-83.55,-16.23,1039.67
