landmark,x, y, z
hipCenter,-112.77,-149.68,1304.55
greaterTrochanter,-163.22,-144.92,1310.99
femoralCenter,-134.18,-154.99,887.73
whitesideReference,-129.66,-175.23,902.85
lateralCondyle,-157.71,-152.13,883.72
medialCondyle,-109.29,-141.80,879.72
lateralPosteriorCondyle,-165.86,-122.88,901.91
medialPosteriorCondyle,-111.30,-111.99,901.16
midfemurCenter,-142.82,-166.78,1102.71
PCLOrigin,-127.50,-133.68,910.50
lateralEpicondyle,-175.70,-150.03,910.68
medialSulcus,-91.96,-133.01,902.94
medialEpicondyle,-89.70,-139.21,906.28
