landmark,x, y, z
hipCenter,-99.17,-43.64,1401.57
greaterTrochanter,-149.78,-33.83,1411.46
femoralCenter,-111.87,-24.36,965.29
whitesideReference,-108.09,-47.24,982.31
lateralCondyle,-131.18,-22.88,960.48
medialCondyle,-89.94,-13.92,956.57
lateralPosteriorCondyle,-136.69,9.01,982.72
medialPosteriorCondyle,-91.73,16.96,979.31
midfemurCenter,-122.53,-45.85,1188.49
PCLOrigin,-103.19,-3.95,988.26
lateralEpicondyle,-153.39,-15.68,986.32
medialSulcus,-72.10,-5.02,980.67
medialEpicondyle,-67.59,-13.27,984.90
