landmark,x, y, z
hipCenter,-60.20,22.10,-58.90
greaterTrochanter,-102.62,37.98,-43.46
femoralCenter,-118.57,34.57,-454.66
whitesideReference,-119.07,15.13,-441.17
lateralCondyle,-138.15,40.12,-458.41
medialCondyle,-90.96,40.67,-465.49
lateralPosteriorCondyle,-136.32,71.65,-439.19
medialPosteriorCondyle,-84.85,69.45,-443.44
midfemurCenter,-114.41,19.39,-252.15
PCLOrigin,-105.36,51.02,-437.58
lateralEpicondyle,-153.95,49.13,-431.19
medialSulcus,-73.96,43.37,-444.46
medialEpicondyle,-72.45,37.65,-442.59
