landmark,x, y, z
PCLOrigin,-54.07,-102.14,-537.89
femoralCenter,-66.93,-119.23,-556.69
greaterTrochanter,-92.34,-105.92,-170.71
hipCenter,-48.59,-126.56,-181.48
lateralCondyle,-86.93,-108.90,-562.69
lateralEpicondyle,-100.72,-99.14,-539.41
lateralPosteriorCondyle,-81.50,-80.92,-542.22
medialCondyle,-41.27,-112.76,-564.70
medialEpicondyle,-28.41,-119.01,-537.33
medialPosteriorCondyle,-36.24,-86.42,-542.76
medialSulcus,-28.11,-112.98,-540.38
midfemurCenter,-81.94,-131.46,-437.71
whitesideReference,-71.28,-136.35,-543.40
