landmark,x, y, z
hipCenter,64.66,-151.97,-133.19
greaterTrochanter,113.83,-120.73,-132.42
femoralCenter,57.61,-125.26,-583.49
whitesideReference,62.71,-142.65,-572.40
lateralCondyle,77.48,-112.41,-589.49
medialCondyle,29.56,-119.99,-593.85
lateralPosteriorCondyle,70.06,-80.66,-567.57
medialPosteriorCondyle,23.65,-90.77,-571.08
midfemurCenter,80.23,-138.55,-352.51
PCLOrigin,41.77,-107.41,-563.22
lateralEpicondyle,91.75,-100.96,-563.28
medialSulcus,13.15,-117.17,-570.66
medialEpicondyle,12.36,-126.97,-566.77
