landmark,x, y, z
PCLOrigin,-96.98,181.99,-524.32
femoralCenter,-105.97,165.46,-547.04
greaterTrochanter,-134.89,166.46,-160.34
hipCenter,-89.83,156.61,-161.76
lateralCondyle,-125.58,169.63,-552.36
lateralEpicondyle,-141.53,172.71,-528.24
lateralPosteriorCondyle,-127.73,197.58,-531.50
medialCondyle,-81.71,173.26,-557.08
medialEpicondyle,-65.00,173.90,-528.84
medialPosteriorCondyle,-82.27,203.60,-533.07
medialSulcus,-66.79,180.91,-532.27
midfemurCenter,-111.46,143.25,-347.22
whitesideReference,-102.82,144.06,-535.42
