landmark,x, y, z
PCLOrigin,-111.85,29.38,1069.33
femoralCenter,-125.86,6.38,1052.09
greaterTrochanter,-126.69,18.28,1458.26
hipCenter,-72.00,7.09,1450.43
lateralCondyle,-150.40,13.99,1049.01
lateralEpicondyle,-163.79,18.37,1073.61
lateralPosteriorCondyle,-151.27,42.09,1067.90
medialCondyle,-98.37,19.43,1038.84
medialEpicondyle,-80.42,17.57,1063.36
medialPosteriorCondyle,-95.99,46.85,1057.63
medialSulcus,-81.83,22.43,1060.41
midfemurCenter,-116.73,-1.41,1254.99
whitesideReference,-123.56,-8.42,1063.96
