landmark,x, y, z
PCLOrigin,-35.54,-4.73,-530.68
femoralCenter,-42.12,-24.46,-554.80
greaterTrochanter,-131.69,-15.51,-98.10
hipCenter,-77.15,-29.16,-100.42
lateralCondyle,-63.29,-18.69,-562.26
lateralEpicondyle,-84.33,-9.24,-533.91
lateralPosteriorCondyle,-68.02,12.59,-541.41
medialCondyle,-19.55,-17.89,-561.06
medialEpicondyle,-3.20,-15.41,-529.28
medialPosteriorCondyle,-18.26,15.23,-535.57
medialSulcus,-3.64,-8.95,-532.84
midfemurCenter,-61.05,-37.32,-434.82
whitesideReference,-44.66,-45.73,-540.28
