landmark,x, y, z
PCLOrigin,91.27,-111.73,1092.37
femoralCenter,100.60,-134.76,1069.79
greaterTrochanter,133.46,-137.42,1509.63
hipCenter,83.72,-136.72,1509.14
lateralCondyle,124.08,-126.02,1063.22
lateralEpicondyle,141.02,-122.27,1092.89
lateralPosteriorCondyle,125.70,-96.05,1087.07
medialCondyle,75.07,-123.37,1058.78
medialEpicondyle,57.29,-120.86,1087.11
medialPosteriorCondyle,79.97,-91.92,1084.51
medialSulcus,59.94,-113.90,1083.11
midfemurCenter,113.90,-139.03,1289.77
whitesideReference,97.64,-152.57,1082.64
