landmark,x, y, z
PCLOrigin,48.28,-116.59,-582.61
femoralCenter,49.99,-139.16,-600.19
greaterTrochanter,128.66,-147.13,-178.01
hipCenter,83.47,-159.87,-184.61
lateralCondyle,76.59,-134.04,-608.19
lateralEpicondyle,91.42,-138.20,-582.36
lateralPosteriorCondyle,82.90,-109.97,-588.80
medialCondyle,32.43,-123.70,-608.19
medialEpicondyle,15.87,-119.22,-578.04
medialPosteriorCondyle,42.44,-93.87,-589.00
medialSulcus,19.45,-113.42,-581.26
midfemurCenter,82.00,-160.55,-390.21
whitesideReference,44.09,-156.31,-587.16
