landmark,x, y, z
PCLOrigin,93.77,-117.06,-860.49
femoralCenter,106.09,-142.26,-887.77
greaterTrochanter,145.79,-118.76,-417.77
hipCenter,93.60,-146.85,-421.50
lateralCondyle,133.21,-134.46,-893.08
lateralEpicondyle,153.55,-125.21,-864.33
lateralPosteriorCondyle,132.07,-98.28,-867.21
medialCondyle,76.77,-130.45,-895.26
medialEpicondyle,57.12,-131.36,-864.05
medialPosteriorCondyle,76.62,-96.75,-869.67
medialSulcus,58.54,-122.15,-867.53
midfemurCenter,124.12,-156.85,-646.54
whitesideReference,106.78,-163.08,-876.28
