landmark,x, y, z
hipCenter,101.90,178.19,-211.23
greaterTrochanter,151.41,194.98,-210.32
femoralCenter,108.94,157.18,-618.71
whitesideReference,106.05,143.02,-607.23
lateralCondyle,133.08,160.75,-623.10
medialCondyle,86.81,173.47,-626.94
lateralPosteriorCondyle,140.46,191.06,-602.96
medialPosteriorCondyle,90.00,202.86,-605.07
midfemurCenter,124.55,161.97,-410.12
PCLOrigin,101.77,182.33,-597.13
lateralEpicondyle,147.08,165.13,-601.06
medialSulcus,72.40,180.54,-603.46
medialEpicondyle,71.14,175.23,-599.10
