landmark,x, y, z
PCLOrigin,-96.96,-107.35,984.98
femoralCenter,-116.44,-125.67,960.81
greaterTrochanter,-160.37,-137.63,1406.74
hipCenter,-105.25,-154.07,1396.18
lateralCondyle,-136.97,-111.50,955.82
lateralEpicondyle,-153.50,-104.30,983.12
lateralPosteriorCondyle,-132.32,-81.96,978.56
medialCondyle,-86.95,-124.74,952.82
medialEpicondyle,-69.64,-132.45,981.91
medialPosteriorCondyle,-80.84,-92.09,978.70
medialSulcus,-68.86,-125.42,979.18
midfemurCenter,-142.17,-149.71,1187.80
whitesideReference,-120.53,-142.74,971.33
