landmark,x, y, z
hipCenter,78.14,178.05,-108.89
greaterTrochanter,118.58,212.05,-113.85
femoralCenter,70.01,176.79,-560.80
whitesideReference,76.06,162.28,-545.20
lateralCondyle,86.27,194.47,-567.60
medialCondyle,40.36,182.38,-572.04
lateralPosteriorCondyle,79.90,224.92,-547.13
medialPosteriorCondyle,31.91,210.49,-549.48
midfemurCenter,92.59,177.40,-329.57
PCLOrigin,50.57,197.06,-541.58
lateralEpicondyle,101.76,201.84,-541.14
medialSulcus,24.62,183.39,-549.00
medialEpicondyle,25.62,177.30,-545.88
