landmark,x, y, z
PCLOrigin,-136.14,26.80,-485.42
femoralCenter,-148.06,3.38,-505.08
greaterTrochanter,-145.49,25.96,-118.93
hipCenter,-106.12,4.40,-120.60
lateralCondyle,-166.85,13.07,-509.04
lateralEpicondyle,-183.84,16.53,-484.93
lateralPosteriorCondyle,-168.31,42.37,-491.67
medialCondyle,-118.93,16.58,-516.11
medialEpicondyle,-105.19,14.10,-486.65
medialPosteriorCondyle,-119.36,44.78,-494.01
medialSulcus,-106.44,20.95,-489.40
midfemurCenter,-142.42,-6.20,-306.44
whitesideReference,-146.27,-8.97,-496.98
