landmark,x, y, z
hipCenter,93.22,-134.47,-138.46
greaterTrochanter,141.13,-119.52,-138.29
femoralCenter,86.97,-124.50,-592.70
whitesideReference,86.51,-143.92,-574.74
lateralCondyle,110.68,-116.56,-598.26
medialCondyle,60.47,-117.15,-601.28
lateralPosteriorCondyle,110.76,-84.14,-573.19
medialPosteriorCondyle,58.92,-83.87,-575.59
midfemurCenter,107.91,-137.57,-358.71
PCLOrigin,77.43,-101.95,-567.67
lateralEpicondyle,129.43,-108.74,-570.16
medialSulcus,41.43,-109.04,-574.74
medialEpicondyle,39.92,-116.26,-570.78
