landmark,x, y, z
PCLOrigin,-71.03,-14.42,1024.17
femoralCenter,-80.74,-36.42,1006.84
greaterTrochanter,-121.32,37.83,1410.78
hipCenter,-75.20,17.92,1404.14
lateralCondyle,-104.86,-20.46,1001.02
lateralEpicondyle,-120.13,-16.74,1025.16
lateralPosteriorCondyle,-102.02,2.35,1017.14
medialCondyle,-59.04,-26.84,999.01
medialEpicondyle,-42.33,-32.00,1026.43
medialPosteriorCondyle,-53.35,-1.35,1017.12
medialSulcus,-43.13,-24.05,1021.87
midfemurCenter,-101.05,-12.62,1211.99
whitesideReference,-84.90,-52.07,1023.10
