landmark,x, y, z
PCLOrigin,-109.27,35.51,-585.84
femoralCenter,-125.83,10.81,-601.60
greaterTrochanter,-119.69,61.98,-156.63
hipCenter,-72.50,38.58,-167.32
lateralCondyle,-147.04,26.13,-607.97
lateralEpicondyle,-163.40,30.59,-583.02
lateralPosteriorCondyle,-142.95,54.12,-588.54
medialCondyle,-94.93,23.56,-614.96
medialEpicondyle,-74.89,20.53,-591.18
medialPosteriorCondyle,-92.59,51.43,-592.06
medialSulcus,-77.22,26.33,-594.36
midfemurCenter,-122.42,28.34,-376.64
whitesideReference,-126.30,-4.46,-589.40
